hoi_id,verb,object,ap,category
0,board,airplane,0.432446,non-rare
1,direct,airplane,0.481392,non-rare
2,exit,airplane,0.035224,non-rare
3,fly,airplane,0.335435,non-rare
4,inspect,airplane,0.360303,non-rare
5,load,airplane,0.365934,non-rare
6,ride,airplane,0.295829,non-rare
7,sit_on,airplane,0.256337,non-rare
8,wash,airplane,0.402428,rare
9,no_interaction,airplane,0.257973,non-rare
10,carry,bicycle,0.017849,non-rare
11,hold,bicycle,0.559898,non-rare
12,inspect,bicycle,0.158244,non-rare
13,jump,bicycle,0.465962,non-rare
14,hop_on,bicycle,0.021720,non-rare
15,park,bicycle,0.181351,non-rare
16,push,bicycle,0.063273,non-rare
17,repair,bicycle,0.446705,non-rare
18,ride,bicycle,0.819944,non-rare
19,sit_on,bicycle,0.633174,non-rare
20,straddle,bicycle,0.631212,non-rare
21,walk,bicycle,0.087120,non-rare
22,wash,bicycle,0.376471,rare
23,no_interaction,bicycle,0.119544,non-rare
24,chase,bird,0.551515,rare
25,feed,bird,0.330487,non-rare
26,hold,bird,0.178844,non-rare
27,pet,bird,0.000987,rare
28,release,bird,0.040667,non-rare
29,watch,bird,0.135349,non-rare
30,no_interaction,bird,0.071190,non-rare
31,board,boat,0.129864,non-rare
32,drive,boat,0.324518,non-rare
33,exit,boat,0.014219,non-rare
34,inspect,boat,0.122159,non-rare
35,jump,boat,0.035445,rare
36,launch,boat,0.092591,non-rare
37,repair,boat,0.197923,non-rare
38,ride,boat,0.712016,non-rare
39,row,boat,0.616249,non-rare
40,sail,boat,0.652373,non-rare
41,sit_on,boat,0.608521,non-rare
42,stand_on,boat,0.319482,non-rare
43,tie,boat,0.044322,non-rare
44,wash,boat,0.274121,rare
45,no_interaction,boat,0.189627,non-rare
46,carry,bottle,0.046323,non-rare
47,drink_with,bottle,0.014220,non-rare
48,hold,bottle,0.087731,non-rare
49,inspect,bottle,0.014440,non-rare
50,lick,bottle,0.035614,rare
51,open,bottle,0.011158,non-rare
52,pour,bottle,0.013532,non-rare
53,no_interaction,bottle,0.046966,non-rare
54,board,bus,0.229728,non-rare
55,direct,bus,0.108104,rare
56,drive,bus,0.609218,non-rare
57,exit,bus,0.055705,non-rare
58,inspect,bus,0.033262,non-rare
59,load,bus,0.041045,non-rare
60,ride,bus,0.538076,non-rare
61,sit_on,bus,0.449792,non-rare
62,wash,bus,0.267337,rare
63,wave,bus,0.105262,rare
64,no_interaction,bus,0.065765,non-rare
65,board,car,0.008687,non-rare
66,direct,car,0.048140,rare
67,drive,car,0.208418,non-rare
68,hose,car,0.403054,non-rare
69,inspect,car,0.148547,non-rare
70,jump,car,0.001003,rare
71,load,car,0.110181,non-rare
72,park,car,0.013511,non-rare
73,ride,car,0.075637,non-rare
74,wash,car,0.490239,non-rare
75,no_interaction,car,0.053522,non-rare
76,dry,cat,0.352281,rare
77,feed,cat,0.288966,rare
78,hold,cat,0.425383,non-rare
79,hug,cat,0.377319,non-rare
80,kiss,cat,0.260481,rare
81,pet,cat,0.345786,non-rare
82,scratch,cat,0.116061,non-rare
83,wash,cat,0.836853,rare
84,chase,cat,0.285503,rare
85,no_interaction,cat,0.239075,non-rare
86,carry,chair,0.014894,non-rare
87,hold,chair,0.013614,non-rare
88,lie_on,chair,0.081090,non-rare
89,sit_on,chair,0.116786,non-rare
90,stand_on,chair,0.002329,rare
91,no_interaction,chair,0.022077,non-rare
92,carry,couch,0.163947,non-rare
93,lie_on,couch,0.357687,non-rare
94,sit_on,couch,0.308304,non-rare
95,no_interaction,couch,0.010142,non-rare
96,feed,cow,0.268570,rare
97,herd,cow,0.598411,non-rare
98,hold,cow,0.150390,non-rare
99,hug,cow,0.422547,rare
100,kiss,cow,0.570144,rare
101,lasso,cow,0.037954,non-rare
102,milk,cow,0.268216,non-rare
103,pet,cow,0.564146,non-rare
104,ride,cow,0.353071,rare
105,walk,cow,0.662131,non-rare
106,no_interaction,cow,0.211062,non-rare
107,clean,dining table,0.010591,rare
108,eat_at,dining table,0.521053,non-rare
109,sit_at,dining table,0.579724,non-rare
110,no_interaction,dining table,0.027034,non-rare
111,carry,dog,0.132369,non-rare
112,dry,dog,0.065331,rare
113,feed,dog,0.311872,non-rare
114,groom,dog,0.079250,rare
115,hold,dog,0.268223,non-rare
116,hose,dog,0.347622,non-rare
117,hug,dog,0.470784,non-rare
118,inspect,dog,0.028858,non-rare
119,kiss,dog,0.569729,non-rare
120,pet,dog,0.149759,non-rare
121,run,dog,0.439408,non-rare
122,scratch,dog,0.035438,non-rare
123,straddle,dog,0.043371,non-rare
124,train,dog,0.139616,non-rare
125,walk,dog,0.254184,non-rare
126,wash,dog,0.532323,non-rare
127,chase,dog,0.070561,rare
128,no_interaction,dog,0.094609,non-rare
129,feed,horse,0.252284,non-rare
130,groom,horse,0.099467,non-rare
131,hold,horse,0.492538,non-rare
132,hug,horse,0.221383,non-rare
133,jump,horse,0.806579,non-rare
134,kiss,horse,0.404556,non-rare
135,load,horse,0.099831,rare
136,hop_on,horse,0.020080,rare
137,pet,horse,0.367194,non-rare
138,race,horse,0.733882,non-rare
139,ride,horse,0.908915,non-rare
140,run,horse,0.445101,non-rare
141,straddle,horse,0.634354,non-rare
142,train,horse,0.118661,non-rare
143,walk,horse,0.256739,non-rare
144,wash,horse,0.578586,non-rare
145,no_interaction,horse,0.147055,non-rare
146,hold,motorcycle,0.534927,non-rare
147,inspect,motorcycle,0.182397,non-rare
148,jump,motorcycle,0.648548,non-rare
149,hop_on,motorcycle,0.278331,rare
150,park,motorcycle,0.190584,non-rare
151,push,motorcycle,0.060597,non-rare
152,race,motorcycle,0.713575,non-rare
153,ride,motorcycle,0.567680,non-rare
154,sit_on,motorcycle,0.662115,non-rare
155,straddle,motorcycle,0.613407,non-rare
156,turn,motorcycle,0.155706,non-rare
157,walk,motorcycle,0.023416,non-rare
158,wash,motorcycle,0.500000,rare
159,no_interaction,motorcycle,0.082486,non-rare
160,carry,person,0.004547,non-rare
161,greet,person,0.000524,non-rare
162,hold,person,0.012240,non-rare
163,hug,person,0.009986,non-rare
164,kiss,person,0.003866,non-rare
165,stab,person,0.001053,rare
166,tag,person,0.001337,rare
167,teach,person,0.005482,non-rare
168,lick,person,0.002680,rare
169,no_interaction,person,0.006539,non-rare
170,carry,potted plant,0.000764,rare
171,hold,potted plant,0.000764,rare
172,hose,potted plant,0.013213,rare
173,no_interaction,potted plant,0.050989,non-rare
174,carry,sheep,0.001558,non-rare
175,feed,sheep,0.391611,non-rare
176,herd,sheep,0.738776,non-rare
177,hold,sheep,0.169163,non-rare
178,hug,sheep,0.052506,non-rare
179,kiss,sheep,0.000917,rare
180,pet,sheep,0.156147,non-rare
181,ride,sheep,0.402493,rare
182,shear,sheep,0.480498,non-rare
183,walk,sheep,0.307917,non-rare
184,wash,sheep,0.107546,rare
185,no_interaction,sheep,0.323008,non-rare
186,board,train,0.328913,non-rare
187,drive,train,0.436464,non-rare
188,exit,train,0.078021,rare
189,load,train,0.092572,rare
190,ride,train,0.303266,non-rare
191,sit_on,train,0.191703,non-rare
192,wash,train,0.517411,rare
193,no_interaction,train,0.272407,non-rare
194,control,tv,0.057626,non-rare
195,repair,tv,0.167091,rare
196,watch,tv,0.117447,non-rare
197,no_interaction,tv,0.097234,non-rare
198,buy,apple,0.523611,rare
199,cut,apple,0.216477,non-rare
200,eat,apple,0.133058,non-rare
201,hold,apple,0.373195,non-rare
202,inspect,apple,0.301767,non-rare
203,peel,apple,0.049002,non-rare
204,pick,apple,0.370078,non-rare
205,smell,apple,0.178038,rare
206,wash,apple,0.135981,rare
207,no_interaction,apple,0.132126,non-rare
208,carry,backpack,0.212303,non-rare
209,hold,backpack,0.008074,non-rare
210,inspect,backpack,0.037811,non-rare
211,open,backpack,0.017328,non-rare
212,wear,backpack,0.168731,non-rare
213,no_interaction,backpack,0.005720,non-rare
214,buy,banana,0.299403,rare
215,carry,banana,0.204295,non-rare
216,cut,banana,0.056665,rare
217,eat,banana,0.137828,non-rare
218,hold,banana,0.310066,non-rare
219,inspect,banana,0.269854,non-rare
220,peel,banana,0.179637,rare
221,pick,banana,0.202439,non-rare
222,smell,banana,0.644103,rare
223,no_interaction,banana,0.246841,non-rare
224,break,baseball bat,0.128677,non-rare
225,carry,baseball bat,0.154925,non-rare
226,hold,baseball bat,0.462341,non-rare
227,sign,baseball bat,0.067084,rare
228,swing,baseball bat,0.581960,non-rare
229,throw,baseball bat,0.090912,rare
230,wield,baseball bat,0.446328,non-rare
231,no_interaction,baseball bat,0.016160,rare
232,hold,baseball glove,0.262316,non-rare
233,wear,baseball glove,0.174787,non-rare
234,no_interaction,baseball glove,0.010193,rare
235,feed,bear,0.168424,non-rare
236,hunt,bear,0.266109,non-rare
237,watch,bear,0.182028,non-rare
238,no_interaction,bear,0.000522,rare
239,clean,bed,0.560104,rare
240,lie_on,bed,0.382041,non-rare
241,sit_on,bed,0.294714,non-rare
242,no_interaction,bed,0.459427,non-rare
243,inspect,bench,0.020681,non-rare
244,lie_on,bench,0.437432,non-rare
245,sit_on,bench,0.572094,non-rare
246,no_interaction,bench,0.113695,non-rare
247,carry,book,0.048517,non-rare
248,hold,book,0.180997,non-rare
249,open,book,0.139893,non-rare
250,read,book,0.185498,non-rare
251,no_interaction,book,0.091112,non-rare
252,hold,bowl,0.008686,non-rare
253,stir,bowl,0.032580,non-rare
254,wash,bowl,0.001354,rare
255,lick,bowl,0.003072,rare
256,no_interaction,bowl,0.020929,non-rare
257,cut,broccoli,0.542552,rare
258,eat,broccoli,0.710068,non-rare
259,hold,broccoli,0.454861,non-rare
260,smell,broccoli,0.601075,rare
261,stir,broccoli,0.098494,rare
262,wash,broccoli,0.600274,rare
263,no_interaction,broccoli,0.350000,non-rare
264,blow,cake,0.602691,non-rare
265,carry,cake,0.079998,non-rare
266,cut,cake,0.522618,non-rare
267,eat,cake,0.287898,non-rare
268,hold,cake,0.245758,non-rare
269,light,cake,0.084507,non-rare
270,make,cake,0.037003,rare
271,pick_up,cake,0.120782,non-rare
272,no_interaction,cake,0.098409,non-rare
273,carry,carrot,0.020582,non-rare
274,cook,carrot,0.504531,rare
275,cut,carrot,0.002738,non-rare
276,eat,carrot,0.085615,non-rare
277,hold,carrot,0.060016,non-rare
278,peel,carrot,0.002808,non-rare
279,smell,carrot,0.000920,rare
280,stir,carrot,0.208365,rare
281,wash,carrot,0.200951,rare
282,no_interaction,carrot,0.133746,non-rare
283,carry,cell phone,0.067403,non-rare
284,hold,cell phone,0.164178,non-rare
285,read,cell phone,0.102036,non-rare
286,repair,cell phone,0.364615,rare
287,talk_on,cell phone,0.136495,non-rare
288,text_on,cell phone,0.182572,non-rare
289,no_interaction,cell phone,0.040984,rare
290,check,clock,0.172385,non-rare
291,hold,clock,0.144908,non-rare
292,repair,clock,0.212660,rare
293,set,clock,0.083956,non-rare
294,no_interaction,clock,0.369931,non-rare
295,carry,cup,0.055198,non-rare
296,drink_with,cup,0.012824,non-rare
297,hold,cup,0.053518,non-rare
298,inspect,cup,0.001493,non-rare
299,pour,cup,0.012627,non-rare
300,sip,cup,0.010438,non-rare
301,smell,cup,0.002477,non-rare
302,fill,cup,0.034752,non-rare
303,wash,cup,0.001168,rare
304,no_interaction,cup,0.006125,non-rare
305,buy,donut,0.073828,rare
306,carry,donut,0.134082,non-rare
307,eat,donut,0.391560,non-rare
308,hold,donut,0.467508,non-rare
309,make,donut,0.036054,non-rare
310,pick_up,donut,0.278946,non-rare
311,smell,donut,0.111771,rare
312,no_interaction,donut,0.122576,non-rare
313,feed,elephant,0.507293,non-rare
314,hold,elephant,0.399268,non-rare
315,hose,elephant,0.223213,rare
316,hug,elephant,0.432472,non-rare
317,kiss,elephant,0.163464,rare
318,hop_on,elephant,0.235208,non-rare
319,pet,elephant,0.492484,non-rare
320,ride,elephant,0.871600,non-rare
321,walk,elephant,0.556547,non-rare
322,wash,elephant,0.464915,non-rare
323,watch,elephant,0.531095,non-rare
324,no_interaction,elephant,0.052532,rare
325,hug,fire hydrant,0.410430,rare
326,inspect,fire hydrant,0.263839,non-rare
327,open,fire hydrant,0.124980,non-rare
328,paint,fire hydrant,0.440145,rare
329,no_interaction,fire hydrant,0.456393,non-rare
330,hold,fork,0.086497,non-rare
331,lift,fork,0.107417,non-rare
332,stick,fork,0.003417,non-rare
333,lick,fork,0.000594,rare
334,wash,fork,0.200800,rare
335,no_interaction,fork,0.004693,non-rare
336,block,frisbee,0.389838,non-rare
337,catch,frisbee,0.330300,non-rare
338,hold,frisbee,0.409422,non-rare
339,spin,frisbee,0.056851,non-rare
340,throw,frisbee,0.542834,non-rare
341,no_interaction,frisbee,0.018005,non-rare
342,feed,giraffe,0.864425,non-rare
343,kiss,giraffe,0.683452,non-rare
344,pet,giraffe,0.126445,non-rare
345,ride,giraffe,0.101399,rare
346,watch,giraffe,0.726200,non-rare
347,no_interaction,giraffe,0.656168,non-rare
348,hold,hair drier,0.001632,non-rare
349,operate,hair drier,0.001455,non-rare
350,repair,hair drier,0.000521,rare
351,no_interaction,hair drier,0.000974,rare
352,carry,handbag,0.121513,non-rare
353,hold,handbag,0.054274,non-rare
354,inspect,handbag,0.009569,rare
355,no_interaction,handbag,0.007271,non-rare
356,carry,hot dog,0.110136,non-rare
357,cook,hot dog,0.377791,non-rare
358,cut,hot dog,0.001070,rare
359,eat,hot dog,0.241747,non-rare
360,hold,hot dog,0.174698,non-rare
361,make,hot dog,0.230781,non-rare
362,no_interaction,hot dog,0.001761,non-rare
363,carry,keyboard,0.196071,non-rare
364,clean,keyboard,0.237042,rare
365,hold,keyboard,0.152925,non-rare
366,type_on,keyboard,0.372605,non-rare
367,no_interaction,keyboard,0.063235,non-rare
368,assemble,kite,0.271383,non-rare
369,carry,kite,0.288561,non-rare
370,fly,kite,0.185617,non-rare
371,hold,kite,0.303206,non-rare
372,inspect,kite,0.105968,non-rare
373,launch,kite,0.245621,non-rare
374,pull,kite,0.166174,non-rare
375,no_interaction,kite,0.017074,non-rare
376,cut_with,knife,0.123025,non-rare
377,hold,knife,0.078759,non-rare
378,stick,knife,0.040622,non-rare
379,wash,knife,0.000520,rare
380,wield,knife,0.074414,non-rare
381,lick,knife,0.003367,rare
382,no_interaction,knife,0.022974,non-rare
